Name,Awards,Education
Atta ur Rehman Khan,10,"University of Malaya, COMSATS University"
Scott Aaronson,4,"Cornell University, University of California, Berkeley"
Rediet Abebe,3,"Cornell University, University of Cambridge, Harvard University"
Hal Abelson,1,"Princeton University, Massachusetts Institute of Technology"
Serge Abiteboul,4,University of Southern California
Samson Abramsky,4,"King's College, Cambridge, Queen Mary University of London"
Leonard Adleman,2,"University of California, Berkeley"
Manindra Agrawal,9,Indian Institute of Technology Kanpur
Luis von Ahn,3,"Duke University, BS, Carnegie Mellon University"
Alfred Aho,7,"University of Toronto, Princeton University"
Frances Allen,6,"University at Albany, University of Michigan"
Gene Amdahl,4,"South Dakota State University, BS, University of Wisconsin, MS, PhD"
David P. Anderson,5,"Wesleyan University, University of Wisconsin-Madison"
Cecilia R. Aragon,4,"California Institute of Technology, University of California, Berkeley"
Bruce Arden,0,Purdue University
Angie Jones,0,"Tennessee State University, North Carolina State University, "
Sanjeev Arora,0,"SB, Massachusetts Institute of Technology, PhD, UC Berkeley"
Winifred Asprey,0,"Vassar College, University of Iowa"
John Vincent Atanasoff,17,"University of Florida, Iowa State University, University of Wisconsin–Madison"
Shaku Atre,0,"University of Poona, University of Heidelberg"
Charles Babbage,8,"Peterhouse, Cambridge"
Charles Bachman,5,"University of Pennsylvania, Michigan State University"
Roland Carl Backhouse,0,"Churchill College, Cambridge, Imperial College London"
John Backus,9,"University of Virginia, University of Pittsburgh, Haverford College, Columbia University"
David F. Bacon,3,U.C. Berkeley
David Bader (computer scientist),1,"Lehigh University, University of Maryland, College Park"
Victor Bahl,3,"University of Massachusetts, Amherst, Modern School, New Delhi"
Anthony James Barr,0,North Carolina State University
Jean Bartik,3,"Northwest Missouri State Teachers College, University of Pennsylvania"
Andrew Barto,2,University of Michigan
Friedrich L. Bauer,2,Ludwig-Maximilians-Universität
Rudolf Bayer,1,University of Illinois at Urbana–Champaign
Gordon Bell,8,MIT
Steven M. Bellovin,0,"Columbia University, University of North Carolina at Chapel Hill"
Tim Berners-Lee,9,"The Queen's College, Oxford"
Daniel J. Bernstein,0,"University of California, Berkeley, New York University"
Abhay Bhushan,0,"Indian Institute of Technology Kanpur, Massachusetts Institute of Technology, MIT Sloan School of Management"
Dines Bjørner,6,Technical University of Denmark
Sue Black (computer scientist),5,London South Bank University
David Blei,4,"Brown University, University of California, Berkeley"
Dorothy Blum,0,Brooklyn College
Lenore Blum,3,"Simmons College, Massachusetts Institute of Technology"
Manuel Blum,5,"Massachusetts Institute of Technology, BA, MA, PhD"
Corrado Böhm,0,ETH Zürich
Grady Booch,2,"U.S. Air Force Academy, B.S., University of California, Santa Barbara, M.S."
Andrew Donald Booth,0,Jesus College
Anita Borg,0,New York University
Jonathan Bowen,12,"University College, Oxford"
Stephen R. Bourne,1,"King's College London, BSc, Trinity College, Cambridge, Diploma in Computer Science, Ph.D."
Harry Bouwman,0,VU University Amsterdam
Robert S. Boyer,0,"Ph.D., Mathematics"
Karlheinz Brandenburg,1,University of Erlangen-Nuremberg
Sergey Brin,0,"University of Maryland, College Park, BS, Stanford University, MS"
Per Brinch Hansen,1,Technical University of Denmark
Fred Brooks,5,"Duke University, Harvard University"
Rodney Brooks,13,"Stanford University, Flinders University"
Michael Butler (computer scientist),0,"Trinity College, Dublin, Wolfson College, Oxford"
Tracy Camp,2,"The College of William and Mary, Michigan State University, Kalamazoo College"
Martin Campbell-Kelly,0,Sunderland Polytechnic
Rosemary Candlin,0,University of Cambridge
Luca Cardelli,3,"University of Pisa, University of Edinburgh"
Michael E. Caspersen,8,"Aarhus U., Aarhus U., [11], PhD, Aarhus U."
Edwin Catmull,4,University of Utah
Vint Cerf,12,"Stanford University, BS, University of California, Los Angeles, MS, PhD"
Robert Cailliau,0,"Ghent University, University of Michigan"
Peter Chen,15,"National Taiwan University, Harvard University"
Tracy Chou,0,"Stanford University, [1], B.S., M.S."
Alonzo Church,0,"Princeton University, BS, PhD"
Edmund M. Clarke,4,Cornell University
John Cocke (computer scientist),4,Duke University
Edgar F. Codd,5,"Exeter College, Oxford, University of Michigan"
Simon Colton,0,"Durham University, University of Liverpool, University of Edinburgh"
Richard W. Conway,2,"Cornell, PhD, Cornell"
Stephen Cook,8,"Harvard University, University of Michigan"
Danese Cooper,0,"University of California, Los Angeles, BA"
Fernando J. Corbató,8,"California Institute of Technology, Massachusetts Institute of Technology"
Patrick Cousot,2,École Nationale Supérieure des Mines de Nancy
Ingemar Cox,4,"University College London, Oxford University"
Seymour Cray,0,University of Minnesota
Nello Cristianini,4,"University of Trieste, University of London, University of Bristol"
Jon Crowcroft,3,Westminster School
Glen Culler,2,"University of California, Berkeley, University of California, Los Angeles"
Haskell Curry,0,"Harvard University, University of Göttingen"
Luigi Dadda,0,Politecnico di Milano
Ole-Johan Dahl,12,University of Oslo
Ryan Dahl,0,"UC San Diego, University of Rochester"
Samir Das,0,"Georgia Tech, Indian Institute of Science, Jadavpur University"
Neil Daswani,0,"Stanford University, Columbia University"
Christopher J. Date,0,University of Cambridge
Terry A. Davis,0,"Bachelor's degree, computer engineering, master's degree, electrical engineering, Arizona State University"
Jeff Dean,0,"University of Minnesota, University of Washington"
Erik Demaine,2,"Dalhousie University, University of Waterloo"
Tom DeMarco,11,"Cornell University, Columbia University, University of Paris"
Richard DeMillo,0,"University of St. Thomas, Georgia Institute of Technology"
Dorothy E. Denning,4,"University of Michigan, Purdue University"
Peter J. Denning,6,"Massachusetts Institute of Technology, [1], Manhattan College"
Robert Dewar,0,"University of Chicago, B.S., Ph.D."
Whitfield Diffie,6,Massachusetts Institute of Technology
Edsger W. Dijkstra,5,"Leiden University, University of Amsterdam"
Matthew Dillon,0,"University of California, Berkeley"
Jack Dongarra,15,"Chicago State University, BS, Illinois Institute of Technology, MS, University of New Mexico, PhD"
Paul Dourish,0,Computer Science
Charles Stark Draper,5,"Massachusetts Institute of Technology, Stanford University"
Susan Dumais,1,"Indiana University, Bates College"
Adam Dunkels,0,"Swedish Institute of Computer Science, B.S., M.S., Ph.D."
Jon Michael Dunn,2,"Oberlin College, University of Pittsburgh"
Annie Easley,0,Cleveland State University
